Typical Measured Spectrum of Semrock BLP01-568R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
654,5535	0,98186333919524
654,7195	0,981587620222293
654,8855	0,981851666943437
655,052	0,981282853383125
655,2185	0,981155564226454
655,3845	0,980781049504033
655,5505	0,980504930309496
655,7165	0,980572347105246
655,8825	0,980133693592353
656,0485	0,979818643821843
656,215	0,980042866383572
656,3815	0,979678083337518
656,5475	0,979728825043816
656,7135	0,979615028658332
656,8795	0,979238180004233
657,0455	0,979317456495622
657,2115	0,979524268736524
657,3775	0,979110195429474
657,5435	0,979171979386989
657,7105	0,979613864482914
657,8765	0,979487896456962
658,0425	0,979544433772713
658,2085	0,979611276467104
658,3745	0,980079907666332
658,5405	0,980006365795669
658,7065	0,980275516274595
658,8725	0,980312431019876
659,0385	0,981099887070666
659,2045	0,9809828627099
659,3705	0,981777059855544
659,5365	0,981412602710417
659,7025	0,982043531068864
659,8685	0,981724399551096
660,0345	0,982415594858079
660,2015	0,983309389154938
660,3675	0,983611672428735
660,5335	0,983735734824763
660,6995	0,983985463126314
660,8655	0,984177905069807
661,0315	0,98487810277582
661,1975	0,984772559002674
661,3635	0,985290054802115
661,5295	0,985994688012596
661,6955	0,985995372527065
661,8615	0,986341661704546
662,0275	0,986850207454128
662,1935	0,986542768379431
662,3595	0,986973953095035
662,5255	0,986909035112905
662,6915	0,987138112602853
662,8575	0,987351936333049
663,0225	0,987396728212127
663,1885	0,987426217768572
663,3545	0,987851255361915
663,5205	0,987285237183988
663,6865	0,987632552464183
663,8525	0,98703273074519
664,0185	0,986874273039424
664,1845	0,987191143255227
664,3505	0,986487812664758
664,5165	0,986528621184979
664,6825	0,986670940519557
664,8485	0,986069906134368
665,0145	0,985854040749682
665,1805	0,985701598259554
665,3465	0,985829382167845
665,5115	0,984774367745836
665,6775	0,984254887884891
665,8435	0,98420822382906
666,0095	0,984158269804778
666,1755	0,983389469550824
666,3415	0,983590987811862
666,5075	0,983262911148992
666,6735	0,982584376674289
666,839	0,982260573384319
667,0045	0,98223887486616
667,1705	0,981745607520453
667,3365	0,981510519497294
667,5025	0,981239123086217
667,6685	0,981179979096199
667,8345	0,981128920939015
668	0,980571496775609
668,1655	0,980394278763544
668,3315	0,980156064304523
668,4975	0,980230459109598
